size_tabu,nb_iteration,avg_fitness,min_fitness,max_fitness,avg_iteration,min_iteration,max_iteration,avg_duration,min_duration,max_duration,avg_truck_removed,avg_truck,min_truck,max_truck,avg_relocate (%),avg_2_opt (%)
0,0,4842.695636965191,4842.695636965191,4842.695636965191,0.0,0,0,0.0,0.0,0.0,0.0,8.0,8,8,0,0
0,40,2128.82547762614,2128.82547762614,2128.82547762614,40.0,40,40,693.3717608451843,693.3717608451843,693.3717608451843,0.0,10.0,10,10,100.0,0.0
0,160,1481.5287586402505,1481.5287586402505,1481.5287586402505,102.0,102,102,2132.524421930313,2132.524421930313,2132.524421930313,1.0,9.0,9,9,99.0196,0.9804
0,640,1308.038655147645,1308.038655147645,1308.038655147645,132.0,132,132,2937.3087236881256,2937.3087236881256,2937.3087236881256,1.0,9.0,9,9,96.9697,3.0303
4,0,4540.294032585311,4540.294032585311,4540.294032585311,0.0,0,0,0.0,0.0,0.0,0.0,9.0,9,9,0,0
4,40,2185.2781203403356,2185.2781203403356,2185.2781203403356,40.0,40,40,696.7805116176605,696.7805116176605,696.7805116176605,0.0,10.0,10,10,100.0,0.0
4,160,1473.5168157867326,1473.5168157867326,1473.5168157867326,106.0,106,106,2309.3063037395477,2309.3063037395477,2309.3063037395477,0.0,9.0,9,9,97.1698,2.8302
4,640,1531.0719604002634,1531.0719604002634,1531.0719604002634,109.0,109,109,2176.0997455120087,2176.0997455120087,2176.0997455120087,0.0,8.0,8,8,99.0826,0.9174
16,0,4672.28755146186,4672.28755146186,4672.28755146186,0.0,0,0,0.0,0.0,0.0,0.0,8.0,8,8,0,0
16,40,2239.51464970011,2239.51464970011,2239.51464970011,40.0,40,40,705.6701998710632,705.6701998710632,705.6701998710632,1.0,10.0,10,10,100.0,0.0
16,160,1398.6365458984542,1398.6365458984542,1398.6365458984542,160.0,160,160,3746.985884666443,3746.985884666443,3746.985884666443,3.0,6.0,6,6,86.25,13.75
16,640,1372.9790104560882,1372.9790104560882,1372.9790104560882,274.0,274,274,6578.708187580109,6578.708187580109,6578.708187580109,3.0,7.0,7,7,93.0657,6.9343
64,0,4451.761635513139,4451.761635513139,4451.761635513139,0.0,0,0,0.0,0.0,0.0,0.0,9.0,9,9,0,0
64,40,2175.8724224356465,2175.8724224356465,2175.8724224356465,40.0,40,40,1038.4373047351837,1038.4373047351837,1038.4373047351837,1.0,8.0,8,8,95.0,5.0
64,160,1468.794385375379,1468.794385375379,1468.794385375379,160.0,160,160,3877.68660569191,3877.68660569191,3877.68660569191,0.0,8.0,8,8,94.375,5.625
64,640,1495.3971738358896,1495.3971738358896,1495.3971738358896,640.0,640,640,18082.90149497986,18082.90149497986,18082.90149497986,1.0,9.0,9,9,61.875,38.125
